Review,Label
Barang sudah sampai.tp foto tak Ada sangkutan... Barang bagus and delivery slow,Negative
Fast penghantaran and good service good response from penjual 👍 sangat awesome,Positive
Good price good product quality good job good condition good service good seller and good packaging good deal good order,Positive
penantian yang berbaloi..kasut yang beautiful tapi not comfortable at all.,Negative
Penghantaran cepat walaupun dari China. 7 hari dh sampai. Kasut cantik. Puas hati beli. Muat kat kaki. Dah try jalan 10k step memang Best. Buat aerobik pun Best. Recommanded seller,Positive
Atti maati naati kudaa sala brand good it's really good wummbi want to do for jogging,Positive
"Barang sampai dengan cepat. Size ok, pakai selesa. Kain sedikit nipis, tapak tak keras, lembut selesa tak sakit kaki. Cantik sama macam gambar. Very recommended 👍🏻",Positive
The goods have been received. Very fashionable and exquisite style. Harap boleh tahan lama. Thank you,Positive
sudah ambil size yang besar tapi masih too small for me,Negative
Seius lawa muat pulak tuh… quality not okay,Negative
"Kuality barang bagus,kasut Nang kacak,tebal gik",Positive
Bagus nice ... Lain hari boleh order lagi dekat kedai ni tau..,Positive
Baraang diterima dalam keadaan baik dan selamat .. thank you,Positive
Kasut ok pengantar no ok. Bad seller,Negative
bad for daily use. walaupun price bagus👍 👌 😌,Negative
Tidak ada kotak add damage protection same takda perubahan kotor d beberapa bahagian,Negative
Tq seller ok la beli buat anak untuk kje material lmbut☺️,Neutral
"Penghantaran cepat walaupun dari overseas , conditions 10/10💥 Recommended can repeat next time👍💥",Positive
Barang dah sampai.. normal quality..terima kasih seller & shoopee,Neutral
"Just receive it.. lambat tiga hari.. 😅 but for the shoes, looks like expensive shoes😍 the colour are nice and aesthetic.",Neutral
Kasutt mmg gamn terukk lawa gilerr 😍❤️ beli untuk husbandd diee kata lawaa die sukaa 😍 tpi biasee die pakai size 41 tpi i ambik size 42 gamm 🥰,Positive
"Safe arrived.. TQ Seller 👍Walaupun jauh dari China, packaging masih okay.. Nak compare quality dengan harga, berpatutanlah tak expect laa sangat macam yg harga premium tu..",Neutral
kasut padan dengan harga.boleh pakai tak sakit kaki. Normal lah,Neutral
"kasut ada masalah. biasa ambik 39 okay, tapi ni, ambik 39 besar sikit la. not good",Negative
kasut not lawa tapi runner problem,Negative
Tak ada kotak kasut & service post lambat,Negative
"No boxxing, sizenya besar sedikit but ok lah for it",Neutral
Beli kasut memang boleh dikedai.penghantaran.memang buat kan anda rasa marah.kasut datang dari china Sampai malaysia.penghantaran jadi teruk.please improve the quality of the delivery,Negative
"shoe is nice and good, like it the colour tp besar sedikit",Neutral
ts off white . But its nice tho . Selesa . Shoes pad nipis jgk la so klau xnk tapak kaki sakit akn dtg beli la pad yg lebih tebal gtu .,Positive
"I bought this for my bf, he loves it very much, sangat selesai, I highly recommend it. Thank you seller.",Positive
Size memang kena beli satu inch extra.. i pakai memang ngam teroks ! Selesa sangat sangat selesa cuma penghantaran je yang lambat. The color is the same as in the picture.,Neutral
"kasut itu kelihatan tidak baik dan bergaya, i regret buying it",Negative
"Pembungkusan agak mengecewakan, juga terdapat tanda hitam di sebelah kiri and price not reasonable .",Negative
Honest review it’s so nice and fit me well Terima Kasih seller🥺❤️❤️❤️❤️❤️recommend buying,Positive
"babe all goood w this shoes ,true to size . design looks quite good . fantastic , hey for my measurements not 100% correct cuz idk size for ball girth. okay",Positive
Could've bagi 5 stars but i received it without a wrapper or a box. I found a tear on the left shoe huhu whyyy Also the size i picked is what i normally buy shoes but this one has a bit of space left when i wear it,Negative
"Suami kata kasut memang selesa pakai,ringan. Berbaloi la beli.. penghantaran pun laju juga . Tq seller tq courier",Positive
Penghantaran tak cepat dn tak awal sangat okelah...kasut ni nice jer size sume okeyy yg kurang 1 bintang pasal takdo kotak langsung direct kasut lepas buka packaging so sad 😢,Negative
"kasut tebal dan tak terlalu keras , walaupun takda kotak tapi kasut sampai dengan beautiful and safe. All okay",Neutral
Very fast delivery even from china 👍 i really like it! Thankyou!! Will beli lagi!! 👍👍👍,Positive
"Sesuai untuk pakai harian dah untuk jalan jugak, saiz ngam and selesa gila pakai kasut ni sebab lembut je rasa.next time boleh repeat lagi belu kat sini sebab kuality ok, harga pun berpatutan",Positive
"I would say the harga kasut yang baik. The material is baik, not sure how will it be after few months of usage. The sole is a bit thin and can come out if you’re not wearing socks. But other than that, shoes good",Neutral
Kasut sampai dlm keadaan bagus cuma sedikit kemik di bahagian kiri kasut.Kebanyakannya semua okay,Neutral
Terbaik terbaik terima kasih seller saya puas hati sampai tepat pada waktu is the best seller,Positive
"Fits my size, and also comfortable in walking They had 41 size was enough happiness for me Whole shopee have good shoes but until size 40 Ain't my fault that I was born with big foot But thanks for the 41 size ❣️",Neutral
"Kasut cun, cantik, smart. Auto hensem anak bujang saya pakai. Berbaloi tunggu lama, dalam 1minggu lebih. Ambil 1 size besar untuk pakai lebih lama dan selesa. Dan alhamdulillah sangat bagus",Positive
Barang sudah diterima..kasut blh la but tali kasut x menarik and kotak pun xada...mcm beli kasut terpakai je....ni masaalah sama saiz 43 jugak kecil...pening,Negative
Barang dah sampai. Puas hati kualitas sangat bagus dan pesanan sesuai dengan yang di pesan. Best pokoknya.👌👌👍,Positive
"Overall the item is okay👍👍👍 , service by seller also bagus, delivery also OK",Neutral
"cantik harap dapat pakai dengan selesa, boleh beli lagi kalau good quality Thank you👍🏻",Positive
Kasut sudah sampai... penghantaran slow.. Thank you seller..sorry gambar xda kena mengena..malas nk ambil gmbr.. hehehe,Negative
"product quality ok, ok for the price",Neutral
Fast delivery. Bungkusan kemas sangat berpuas hati. Terima kasih. Terima kasih seller .boleh repeat lagi...,Positive
